country_code,zone,indice_de_quantite_d'exportation_(2014-2016_=_100),indice_de_quantite_d'importation_(2014-2016_=_100),indice_de_valeur_d'exportation_(2014-2016_=_100),indice_de_valeur_des_importations_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'export_(2014-2016_=_100),indice_de_valeur_unitaire_a_l'import_(2014-2016_=_100),valeur_des_exportations_-_prix_periode_de_reference,valeur_des_exportations_-_quantite_periode_de_reference,valeur_des_importations_-_prix_periode_de_reference,valeur_des_importations_-_quantite_periode_de_reference
61,Guinée équatoriale,68877.0,184797.0,189185.0,16635.0,36771.0,8625.0,2294.0,1879.0,264521.0,228570.0
63,Estonie,228059.0,17616.0,105546.0,17007.0,27988.0,13895.0,1067698.0,944108.0,1159941.0,1067347.0
64,Îles Féroé,6560.0,27847.0,11988.0,23810.0,2864.0,19539.0,40031.0,5132.0,170256.0,155045.0
66,Fidji,108970.0,20971.0,23115.0,18406.0,10406.0,11256.0,159200.0,155631.0,357587.0,263942.0
67,Finlande,1009330.0,31415.0,26467.0,16175.0,16302.0,14163.0,1531520.0,1497560.0,4342137.0,4388804.0
68,France,19317.0,14507.0,19116.0,15007.0,22869.0,17604.0,50418451.0,53912808.0,46078065.0,45366294.0
7,Angola,27610130.0,3017164.0,13535448.0,1431415.0,30711.0,11670.0,79077.0,15910.0,2145051.0,2738611.0
70,Polynésie française,13988.0,20219.0,29145.0,15181.0,6502.0,12949.0,13730.0,19525.0,349362.0,363838.0
72,Djibouti,326310.0,2886422.0,215043.0,4674245.0,1695.0,15375.0,164130.0,73705.0,1404522.0,876991.0
73,Géorgie,65632.0,41550.0,141597.0,34525.0,9909.0,11530.0,593776.0,358092.0,1066997.0,862916.0
74,Gabon,295581.0,28491.0,36660.0,23790.0,3821.0,11669.0,52206.0,37360.0,578824.0,495472.0
75,Gambie,17780.0,157850.0,14947.0,95609.0,20267.0,14213.0,8070.0,21512.0,190816.0,109999.0
79,Allemagne,20409.0,17157.0,17237.0,23063.0,14521.0,14287.0,62830292.0,63963505.0,78358445.0,73444933.0
8,Antigua-et-Barbuda,17632.0,22721.0,29311.0,18918.0,5536.0,11473.0,409.0,466.0,91126.0,85757.0
80,Bosnie-Herzégovine,33694.0,64901.0,32720.0,51622.0,12492.0,16709.0,433370.0,389787.0,1412740.0,1390812.0
81,Ghana,167771.0,45125.0,646104.0,31835.0,28182.0,14879.0,3811823.0,2665130.0,3004165.0,1741232.0
83,Kiribati,421.0,311078.0,327.0,148805.0,71531.0,9063.0,291.0,1949686.0,51285.0,30012.0
84,Grèce,33964.0,20981.0,23807.0,41524.0,17958.0,18839.0,6688139.0,5299071.0,5971886.0,5917593.0
86,Grenade,6234.0,28494.0,12668.0,23667.0,3705.0,13572.0,16298.0,15080.0,69515.0,64158.0
89,Guatemala,235175.0,113491.0,379848.0,84737.0,15366.0,27306.0,4923167.0,4566320.0,2742071.0,1884912.0
9,Argentine,23510.0,520087.0,22507.0,52910.0,8706.0,12884.0,38412473.0,29311095.0,3619394.0,1287753.0
90,Guinée,19210.0,246310.0,6512.0,346150.0,12083.0,126190.0,115248.0,107863.0,802582.0,1004305.0
91,Guyana,347738.0,93189.0,53873.0,103477.0,16267.0,14266.0,443822.0,250446.0,220440.0,224521.0
93,Haïti,313360.0,37495.0,196916.0,15983.0,3752.0,10241.0,31612.0,26803.0,1652179.0,1093650.0
95,Honduras,127631.0,23498.0,30987.0,19666.0,20339.0,27100.0,2447891.0,2110506.0,1442149.0,1301384.0
96,Chine - RAS de Hong-Kong,83277.0,28552.0,23693.0,21648.0,23226.0,13349.0,3559741.0,11199521.0,13903213.0,22458043.0
97,Hongrie,25374.0,17915.0,20175.0,19079.0,12972.0,30137.0,8194725.0,6691580.0,4996786.0,4416827.0
98,Croatie,35662.0,552666.0,36923.0,120169.0,17851.0,14004.0,1826101.0,1309198.0,2897383.0,2286200.0
99,Islande,42805.0,39804.0,33833.0,37302.0,9690.0,13055.0,49734.0,44752.0,486216.0,410563.0
