Zone,Alimentation pour touristes,Aliments pour animaux,Autres utilisations (non alimentaire),Disponibilité alimentaire (Kcal/personne/jour),Disponibilité alimentaire en quantité (kg/personne/an),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Disponibilité intérieure,Exportations - Quantité,Importations - Quantité,Nourriture,Pertes,Production,Résidus,Semences,Traitement,Variation de stock
Djibouti,0.0,0.0,289000.0,2677000.0,431320.0,59810.0,66430.0,1347000.0,191000.0,1497000.0,403000.0,5000.0,83000.0,649000.0,0.0,0.0,38000.0
Dominique,26000.0,22000.0,0.0,2945000.0,988870.0,80120.0,78960.0,149000.0,2000.0,26000.0,69000.0,24000.0,125000.0,0.0,4000.0,6000.0,0.0
El Salvador,0.0,942000.0,158000.0,2660000.0,579310.0,64060.0,74700.0,12559000.0,1218000.0,2717000.0,3701000.0,282000.0,10759000.0,-11000.0,244000.0,7242000.0,-304000.0
Espagne,0.0,25196000.0,5687000.0,3270000.0,937620.0,149220.0,106990.0,98426000.0,34158000.0,41585000.0,43741000.0,3604000.0,91057000.0,-3729000.0,1377000.0,22540000.0,63000.0
Estonie,0.0,333000.0,28000.0,3241000.0,1032490.0,106160.0,107290.0,2007000.0,1875000.0,943000.0,1361000.0,32000.0,2911000.0,-36000.0,93000.0,190000.0,-26000.0
Eswatini,0.0,350000.0,307000.0,2406000.0,532390.0,43290.0,61220.0,6790000.0,784000.0,446000.0,596000.0,316000.0,7195000.0,-107000.0,11000.0,5317000.0,66000.0
Fidji,240000.0,130000.0,3000.0,2941000.0,730700.0,95200.0,73880.0,2415000.0,258000.0,384000.0,636000.0,88000.0,2312000.0,-40000.0,1000.0,1353000.0,33000.0
Finlande,0.0,2179000.0,497000.0,3337000.0,1098240.0,139560.0,117770.0,10154000.0,1934000.0,3007000.0,6052000.0,332000.0,8703000.0,-42000.0,270000.0,860000.0,-378000.0
France,0.0,29931000.0,18866000.0,3556000.0,943520.0,157710.0,112080.0,169101000.0,59628000.0,34730000.0,61184000.0,5682000.0,201763000.0,-332000.0,1683000.0,52087000.0,7766000.0
Fédération de Russie,0.0,71587000.0,3373000.0,3362000.0,887100.0,109900.0,101870.0,299307000.0,56569000.0,23976000.0,129102000.0,5313000.0,334095000.0,-681000.0,26365000.0,64252000.0,2188000.0
Gabon,0.0,235000.0,32000.0,2640000.0,684950.0,55750.0,79310.0,2238000.0,7000.0,514000.0,1412000.0,247000.0,1688000.0,-1000.0,32000.0,278000.0,-39000.0
Gambie,0.0,49000.0,187000.0,2542000.0,350970.0,80030.0,63480.0,1145000.0,22000.0,609000.0,776000.0,36000.0,614000.0,0.0,15000.0,84000.0,56000.0
Ghana,0.0,5764000.0,4018000.0,3034000.0,850780.0,40380.0,62950.0,46468000.0,1526000.0,4557000.0,24776000.0,8961000.0,44045000.0,-290000.0,83000.0,3153000.0,602000.0
Grenade,6000.0,11000.0,0.0,2404000.0,525110.0,78890.0,70570.0,87000.0,10000.0,47000.0,54000.0,3000.0,49000.0,0.0,0.0,8000.0,-2000.0
Grèce,0.0,4502000.0,1076000.0,3353000.0,947290.0,150840.0,105130.0,20911000.0,4812000.0,7840000.0,10016000.0,1209000.0,18303000.0,-104000.0,227000.0,3980000.0,422000.0
Guatemala,0.0,1422000.0,795000.0,2551000.0,459600.0,60700.0,69830.0,44407000.0,7582000.0,3232000.0,7771000.0,2207000.0,52433000.0,-88000.0,674000.0,31619000.0,3676000.0
Guinée,0.0,1107000.0,343000.0,2793000.0,564370.0,68720.0,61780.0,10905000.0,171000.0,1604000.0,6810000.0,1217000.0,9993000.0,-126000.0,119000.0,1436000.0,521000.0
Guinée-Bissau,0.0,50000.0,11000.0,2252000.0,390170.0,62950.0,44130.0,1031000.0,118000.0,268000.0,709000.0,78000.0,982000.0,4000.0,9000.0,165000.0,107000.0
Guyana,0.0,363000.0,464000.0,2882000.0,895670.0,65470.0,87580.0,3021000.0,402000.0,243000.0,696000.0,199000.0,3282000.0,-11000.0,23000.0,1285000.0,109000.0
Géorgie,0.0,334000.0,87000.0,2871000.0,607040.0,69940.0,76890.0,3070000.0,405000.0,1476000.0,2429000.0,66000.0,1964000.0,-131000.0,54000.0,226000.0,-42000.0
Haïti,0.0,746000.0,156000.0,2163000.0,447240.0,44290.0,49910.0,7689000.0,10000.0,1752000.0,4907000.0,753000.0,6150000.0,1000.0,38000.0,1082000.0,203000.0
Honduras,3000.0,561000.0,175000.0,2552000.0,471570.0,69010.0,64040.0,13264000.0,2717000.0,1861000.0,4444000.0,316000.0,14050000.0,-31000.0,196000.0,7591000.0,-57000.0
Hongrie,0.0,4519000.0,285000.0,3289000.0,765790.0,153280.0,87760.0,17707000.0,14484000.0,4055000.0,7458000.0,362000.0,27417000.0,-359000.0,465000.0,4981000.0,-728000.0
Inde,0.0,65899000.0,17939000.0,2515000.0,530810.0,56400.0,65700.0,1181350000.0,35006000.0,33869000.0,710817000.0,74526000.0,1223513000.0,-594000.0,34046000.0,278717000.0,41025000.0
Indonésie,0.0,14242000.0,54539000.0,2894000.0,567090.0,55300.0,68630.0,443350000.0,39901000.0,26108000.0,150078000.0,15169000.0,451871000.0,-1995000.0,1289000.0,210019000.0,-5281000.0
Iran (République islamique d'),0.0,17208000.0,819000.0,3116000.0,750670.0,77650.0,87590.0,104836000.0,7122000.0,17640000.0,60558000.0,6512000.0,93350000.0,-74000.0,1112000.0,18702000.0,-968000.0
Iraq,0.0,1646000.0,634000.0,2505000.0,378590.0,69410.0,60540.0,17682000.0,151000.0,11033000.0,14219000.0,841000.0,6733000.0,-2000.0,271000.0,71000.0,-64000.0
Irlande,0.0,4006000.0,2195000.0,3714000.0,980920.0,141160.0,105810.0,11303000.0,9388000.0,7593000.0,4663000.0,171000.0,13790000.0,-401000.0,80000.0,595000.0,714000.0
Islande,0.0,139000.0,49000.0,3629000.0,983540.0,166980.0,141340.0,538000.0,1445000.0,296000.0,323000.0,1000.0,1710000.0,0.0,2000.0,25000.0,14000.0
Israël,0.0,2784000.0,687000.0,3507000.0,881740.0,155540.0,122620.0,11964000.0,1275000.0,6630000.0,7267000.0,324000.0,6978000.0,-46000.0,47000.0,894000.0,374000.0
Italie,0.0,15967000.0,3013000.0,3522000.0,942080.0,151470.0,106690.0,93706000.0,26998000.0,41462000.0,57155000.0,1873000.0,79192000.0,-894000.0,733000.0,15850000.0,-50000.0
Jamaïque,25000.0,413000.0,204000.0,2754000.0,679670.0,78580.0,72830.0,3966000.0,184000.0,1260000.0,1983000.0,233000.0,2935000.0,-4000.0,7000.0,1095000.0,47000.0
Japon,0.0,15382000.0,2675000.0,2699000.0,578970.0,87590.0,86520.0,109433000.0,1689000.0,50109000.0,73827000.0,3209000.0,61392000.0,-38000.0,323000.0,14053000.0,382000.0
Jordanie,0.0,1624000.0,35000.0,2716000.0,490400.0,90860.0,69080.0,7120000.0,892000.0,4542000.0,4800000.0,420000.0,3215000.0,-6000.0,29000.0,221000.0,-254000.0
Kazakhstan,0.0,10067000.0,1117000.0,3195000.0,940260.0,128650.0,94970.0,36429000.0,10329000.0,3698000.0,17001000.0,1745000.0,42042000.0,-26000.0,4762000.0,1759000.0,-1013000.0
Kenya,0.0,1963000.0,441000.0,2125000.0,459710.0,45090.0,60870.0,31394000.0,1369000.0,7290000.0,23090000.0,1772000.0,26467000.0,-533000.0,193000.0,4463000.0,1000000.0
Kirghizistan,0.0,1912000.0,161000.0,2796000.0,814130.0,66960.0,85280.0,8605000.0,274000.0,934000.0,5037000.0,198000.0,7958000.0,0.0,362000.0,938000.0,8000.0
Kiribati,90000.0,20000.0,69000.0,3056000.0,627940.0,103720.0,73900.0,294000.0,98000.0,29000.0,70000.0,8000.0,367000.0,0.0,0.0,36000.0,3000.0
Koweït,0.0,778000.0,84000.0,3445000.0,687970.0,105760.0,99690.0,3743000.0,576000.0,3575000.0,2788000.0,107000.0,816000.0,-61000.0,11000.0,33000.0,69000.0
Lesotho,0.0,26000.0,0.0,2277000.0,386040.0,43340.0,63950.0,886000.0,44000.0,476000.0,806000.0,36000.0,507000.0,1000.0,3000.0,11000.0,54000.0
Lettonie,0.0,723000.0,185000.0,3170000.0,939800.0,124610.0,97270.0,3161000.0,4474000.0,2513000.0,1829000.0,60000.0,5291000.0,-162000.0,278000.0,240000.0,213000.0
Liban,0.0,771000.0,345000.0,2877000.0,615500.0,89500.0,67550.0,5831000.0,677000.0,3226000.0,4198000.0,231000.0,3205000.0,-250000.0,30000.0,504000.0,-84000.0
Libéria,0.0,58000.0,11000.0,2127000.0,378680.0,55370.0,39910.0,2417000.0,28000.0,656000.0,1781000.0,185000.0,1873000.0,-7000.0,18000.0,369000.0,83000.0
Lituanie,0.0,1417000.0,367000.0,3419000.0,1072110.0,106430.0,125060.0,6591000.0,6858000.0,2991000.0,3050000.0,332000.0,10597000.0,-200000.0,396000.0,1229000.0,133000.0
Luxembourg,0.0,129000.0,11000.0,3334000.0,989020.0,136340.0,105790.0,766000.0,728000.0,851000.0,584000.0,12000.0,660000.0,0.0,6000.0,19000.0,12000.0
Macédoine du Nord,0.0,523000.0,126000.0,2996000.0,885230.0,103190.0,80530.0,2829000.0,464000.0,817000.0,1841000.0,170000.0,2407000.0,-12000.0,67000.0,110000.0,-65000.0
Madagascar,0.0,618000.0,1971000.0,1901000.0,422080.0,23460.0,42940.0,15667000.0,273000.0,1568000.0,10792000.0,1038000.0,14082000.0,-36000.0,330000.0,952000.0,-286000.0
Malaisie,0.0,3987000.0,5398000.0,2902000.0,538670.0,91100.0,78870.0,132318000.0,20672000.0,18355000.0,16760000.0,2239000.0,138863000.0,-575000.0,145000.0,104362000.0,4241000.0
Malawi,0.0,6328000.0,13000.0,2646000.0,681510.0,47190.0,67980.0,25913000.0,203000.0,256000.0,12042000.0,2481000.0,26100000.0,0.0,473000.0,4577000.0,239000.0
Maldives,41000.0,0.0,14000.0,2253000.0,513840.0,48080.0,81630.0,330000.0,91000.0,281000.0,250000.0,0.0,153000.0,17000.0,0.0,0.0,13000.0
Mali,0.0,1146000.0,2896000.0,2923000.0,618990.0,60090.0,84740.0,17968000.0,211000.0,1518000.0,11464000.0,1002000.0,17790000.0,115000.0,301000.0,1041000.0,1125000.0
Malte,0.0,75000.0,53000.0,3460000.0,889970.0,118150.0,116320.0,541000.0,56000.0,425000.0,391000.0,18000.0,196000.0,-6000.0,0.0,6000.0,25000.0
Maroc,0.0,4529000.0,1326000.0,3378000.0,700290.0,67700.0,98030.0,39215000.0,3666000.0,9451000.0,24916000.0,2206000.0,34474000.0,-67000.0,1049000.0,5246000.0,1041000.0
Maurice,14000.0,141000.0,23000.0,3125000.0,541340.0,99750.0,88410.0,4592000.0,694000.0,944000.0,687000.0,198000.0,4336000.0,-12000.0,4000.0,3538000.0,-5000.0
Mauritanie,0.0,132000.0,118000.0,2842000.0,456820.0,72590.0,79820.0,2323000.0,799000.0,1751000.0,1955000.0,96000.0,1796000.0,-2000.0,22000.0,1000.0,431000.0
