country_code,zone,besoins_energetiques_alimentaires_moyens_(kcal/personne/jour),densite_du_reseau_ferroviaire_(pour_100_km_carres_de_surface_totale_du_pays),"pib_par_habitant,_($_ppa_internationaux_constants_de_2017)","part_des_cereales,_des_racines_et_des_tubercules_dans_les_apports_energetiques_alimentaires_(%)_(moyenne_sur_3_ans)",pourcentage_des_terres_arables_amenagees_pour_l'irrigation_(%)_(moyenne_sur_3_ans),stabilite_politique_et_absence_de_violence/terrorisme_(indice),suffisance_des_apports_energetiques_alimentaires_moyens_(%)_(moyenne_sur_3_ans),taux_de_dependance_a_l'egard_des_importations_cerealieres_(%)_(moyenne_sur_3_ans),valeur_des_importations_alimentaires_par_rapport_aux_exportations_totales_de_marchandises_(%)_(moyenne_sur_3_ans),variabilite_des_disponibilites_alimentaires_par_habitant_(kcal/personne/jour)
299,Palestine,2222.0,0.0,5423.7,49.0,21.0,-2.02,0.0,95.2,35.0,0.0
3,Albanie,2488.0,0.0,14794.6,34.0,13.1,0.09,135.0,46.9,20.0,14.0
32,Cameroun,2248.0,0.2,4711.1,58.0,0.1,-1.51,126.0,34.8,27.0,30.0
33,Canada,2505.0,0.5,53146.1,28.0,0.1,1.01,144.0,-173.8,7.0,27.0
35,Cabo Verde,2426.0,0.0,6282.9,53.0,0.9,0.87,108.0,97.3,388.0,25.0
351,Chine,2440.0,1.1,19075.9,51.0,0.0,0.0,137.0,6.9,5.0,24.0
37,République centrafricaine,2139.0,0.0,1069.3,43.0,0.0,-2.24,106.0,0.0,63.0,18.0
38,Sri Lanka,2312.0,0.0,13970.3,60.0,10.3,-0.09,122.0,18.7,18.0,25.0
39,Tchad,2179.0,0.0,1843.2,59.0,0.0,-1.26,104.0,4.9,9.0,26.0
4,Algérie,2299.0,0.0,12677.7,50.0,0.6,-0.85,152.0,80.6,28.0,45.0
40,Chili,2451.0,0.3,26347.1,40.0,1.5,0.04,126.0,58.5,9.0,14.0
41,"Chine, continentale",2440.0,1.1,18833.8,51.0,7.9,0.0,137.0,5.9,5.0,25.0
44,Colombie,2369.0,0.0,16023.6,35.0,1.0,-0.7,130.0,64.0,15.0,43.0
45,Comores,2245.0,0.0,3420.2,55.0,0.1,-0.29,111.0,0.0,287.0,19.0
46,Congo,2236.0,0.0,6406.9,59.0,0.0,-0.21,97.0,93.3,9.0,18.0
47,Îles Cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,0.0
48,Costa Rica,2448.0,0.0,22090.0,32.0,3.1,0.75,123.0,89.4,14.0,41.0
49,Cuba,2449.0,0.0,0.0,44.0,6.2,0.6,139.0,86.5,95.0,50.0
5,Samoa américaines,0.0,0.0,0.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0
50,Chypre,2533.0,0.0,44511.5,38.0,4.1,0.29,120.0,97.3,30.0,31.0
52,Azerbaïdjan,2415.0,2.6,19126.1,51.0,17.8,-0.85,138.0,32.7,10.0,56.0
53,Bénin,2210.0,0.0,3429.9,64.0,0.5,-0.44,123.0,43.4,30.0,18.0
54,Danemark,2549.0,0.0,65686.5,25.0,8.0,0.92,141.0,-9.8,8.0,57.0
55,Dominique,2724.0,0.0,13617.8,27.0,0.3,1.32,109.0,100.0,270.0,44.0
56,République dominicaine,2395.0,0.0,19736.8,27.0,6.4,0.16,129.0,64.0,25.0,15.0
57,Bélarus,2454.0,2.6,26731.5,34.0,0.2,-0.89,135.0,6.4,9.0,20.0
58,Équateur,2318.0,0.0,12904.6,42.0,6.9,-0.27,109.0,39.7,7.0,47.0
