Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SCL","Supply Utilization Accounts (2010-)","008","Albania","261","Calories/Year","F1061","Poultry meat preparations","2020","2020","million kcal","4518.27","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","271","Proteins/Year","F1061","Poultry meat preparations","2020","2020","tonnes","596.96","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","008","Albania","281","Fats/Year","F1061","Poultry meat preparations","2020","2020","tonnes","219.07","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import Quantity","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0.01","T","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5166","Residuals","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5141","Food supply quantity (tonnes)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0.01","E","Estimated value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","kcal/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","665","Food supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","684","Fat supply quantity (g/capita/day)","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","g/capita/day","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","261","Calories/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","million kcal","0.02","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","271","Proteins/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","281","Fats/Year","21160.01","Edible offals and liver of chickens and guinea fowl, fresh, chilled or frozen","2020","2020","tonnes","0","I","Imputed value"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","0.2","T","Unofficial figure"
