Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","070","Bosnia and Herzegovina","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","1685.553","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1783.4","X","Figure from international organizations",""
"OA","Annual population","070","Bosnia and Herzegovina","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1714.81","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","2546.402","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","1256.708","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","1289.694","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","703.554","X","Figure from international organizations",""
"OA","Annual population","072","Botswana","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1712.212","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","213196.304","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","104779.288","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","108417.015","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","27645.976","X","Figure from international organizations",""
"OA","Annual population","076","Brazil","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","186217.07","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","30.91","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","14.9","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","16.01","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","16.802","X","Figure from international organizations",""
"OA","Annual population","092","British Virgin Islands","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","15.832","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","441.725","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","228.677","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","213.048","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","96.681","X","Figure from international organizations",""
"OA","Annual population","096","Brunei Darussalam","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","347.838","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","6979.175","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","3385.278","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","3593.896","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1687.49","X","Figure from international organizations",""
"OA","Annual population","100","Bulgaria","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","5253.037","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","21522.626","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","10718.602","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","10804.024","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","14505.434","X","Figure from international organizations",""
"OA","Annual population","854","Burkina Faso","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","6397.911","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","12220.227","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","6066.599","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","6153.627","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","10302.641","X","Figure from international organizations",""
"OA","Annual population","108","Burundi","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","1636.586","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","582.64","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","289.745","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","292.895","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","189.2","X","Figure from international organizations",""
"OA","Annual population","132","Cabo Verde","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","378.148","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","16396.86","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","8115.527","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","8281.334","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","12665.049","X","Figure from international organizations",""
"OA","Annual population","116","Cambodia","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","4050.459","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","26491.087","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","13210.626","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","13280.46","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","11016.661","X","Figure from international organizations",""
"OA","Annual population","120","Cameroon","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","14941.523","X","Figure from international organizations",""
"OA","Annual population","124","Canada","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","37888.705","X","Figure from international organizations",""
"OA","Annual population","124","Canada","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 persons","18826.542","X","Figure from international organizations",""
"OA","Annual population","124","Canada","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 persons","19062.163","X","Figure from international organizations",""
"OA","Annual population","124","Canada","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 persons","6933.141","X","Figure from international organizations",""
"OA","Annual population","124","Canada","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 persons","30670.064","X","Figure from international organizations",""
"OA","Annual population","136","Cayman Islands","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 persons","67.311","X","Figure from international organizations",""
