Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","044","Bahamas","5622","Import Value","02151","Chickens","2020","2020","1000 US$","45","A","Official figure"
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","0.12","A","Official figure"
"TCL","Crops and livestock products","044","Bahamas","5622","Import Value","21511.03","Fat of poultry","2020","2020","1000 US$","1","A","Official figure"
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","25381.24","A","Official figure"
"TCL","Crops and livestock products","044","Bahamas","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","26349","A","Official figure"
"TCL","Crops and livestock products","044","Bahamas","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","0.1","A","Official figure"
"TCL","Crops and livestock products","044","Bahamas","5622","Import Value","21522","Poultry fat, rendered","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","6","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5622","Import Value","02151","Chickens","2020","2020","1000 US$","191","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","0.02","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5622","Import Value","21511.03","Fat of poultry","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5910","Export Quantity","21511.03","Fat of poultry","2020","2020","tonnes","0","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5922","Export Value","21511.03","Fat of poultry","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","62970.01","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","120623","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","462.52","A","Official figure"
"TCL","Crops and livestock products","048","Bahrain","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","2087","A","Official figure"
"TCL","Crops and livestock products","050","Bangladesh","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","3017","T","Unofficial figure"
"TCL","Crops and livestock products","050","Bangladesh","5622","Import Value","02151","Chickens","2020","2020","1000 US$","21814","T","Unofficial figure"
"TCL","Crops and livestock products","050","Bangladesh","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","1.37","T","Unofficial figure"
"TCL","Crops and livestock products","050","Bangladesh","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","5","T","Unofficial figure"
"TCL","Crops and livestock products","052","Barbados","5909","Export Quantity","02151","Chickens","2020","2020","1000 Head","44","A","Official figure"
"TCL","Crops and livestock products","052","Barbados","5922","Export Value","02151","Chickens","2020","2020","1000 US$","650","A","Official figure"
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","0.03","A","Official figure"
"TCL","Crops and livestock products","052","Barbados","5622","Import Value","21511.03","Fat of poultry","2020","2020","1000 US$","0","A","Official figure"
"TCL","Crops and livestock products","052","Barbados","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","1038.08","A","Official figure"
"TCL","Crops and livestock products","052","Barbados","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","2626","A","Official figure"
"TCL","Crops and livestock products","052","Barbados","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","42.48","A","Official figure"
"TCL","Crops and livestock products","052","Barbados","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","128","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5609","Import Quantity","02151","Chickens","2020","2020","1000 Head","6228","I","Imputed value"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","02151","Chickens","2020","2020","1000 US$","11469","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5909","Export Quantity","02151","Chickens","2020","2020","1000 Head","721","I","Imputed value"
"TCL","Crops and livestock products","112","Belarus","5922","Export Value","02151","Chickens","2020","2020","1000 US$","1695","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","21511.03","Fat of poultry","2020","2020","tonnes","48.99","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","21511.03","Fat of poultry","2020","2020","1000 US$","46","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","19637.68","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5622","Import Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","32263","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5910","Export Quantity","21121","Meat of chickens, fresh or chilled","2020","2020","tonnes","192540.36","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5922","Export Value","21121","Meat of chickens, fresh or chilled","2020","2020","1000 US$","290174","A","Official figure"
"TCL","Crops and livestock products","112","Belarus","5610","Import Quantity","21522","Poultry fat, rendered","2020","2020","tonnes","63.64","A","Official figure"
