Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","11","Autriche","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","109.37","I","Valeur imputée"
"PP","Prix à la Production","52","Azerbaïdjan","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","2500","A","Chiffre officiel"
"PP","Prix à la Production","52","Azerbaïdjan","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","2500","A","Chiffre officiel"
"PP","Prix à la Production","52","Azerbaïdjan","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","1470.6","A","Chiffre officiel"
"PP","Prix à la Production","52","Azerbaïdjan","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","202.32","I","Valeur imputée"
"PP","Prix à la Production","52","Azerbaïdjan","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","117.97","I","Valeur imputée"
"PP","Prix à la Production","52","Azerbaïdjan","5530","Prix à la Production (LCU/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","3170","A","Chiffre officiel"
"PP","Prix à la Production","52","Azerbaïdjan","5531","Prix à la Production (SLC/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","3170","A","Chiffre officiel"
"PP","Prix à la Production","52","Azerbaïdjan","5532","Prix à la Production (USD/tonne)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","1864.7","A","Chiffre officiel"
"PP","Prix à la Production","52","Azerbaïdjan","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","124.57","I","Valeur imputée"
"PP","Prix à la Production","13","Bahreïn","5530","Prix à la Production (LCU/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","UML","1333","A","Chiffre officiel"
"PP","Prix à la Production","13","Bahreïn","5531","Prix à la Production (SLC/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","MLS","1333","A","Chiffre officiel"
"PP","Prix à la Production","13","Bahreïn","5532","Prix à la Production (USD/tonne)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","USD","3545.2","A","Chiffre officiel"
"PP","Prix à la Production","13","Bahreïn","5530","Prix à la Production (LCU/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","UML","1200","A","Chiffre officiel"
"PP","Prix à la Production","13","Bahreïn","5531","Prix à la Production (SLC/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","MLS","1200","A","Chiffre officiel"
"PP","Prix à la Production","13","Bahreïn","5532","Prix à la Production (USD/tonne)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","USD","3191.5","A","Chiffre officiel"
"PP","Prix à la Production","16","Bangladesh","5539","Indice des prix à la production (2014-2016 = 100)","1062","Œufs de poule en coquille frais","2020","2020","7021","Valeur annuel","","131.89","I","Valeur imputée"
"PP","Prix à la Production","16","Bangladesh","5539","Indice des prix à la production (2014-2016 = 100)","1095","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","121.56","I","Valeur imputée"
"PP","Prix à la Production","16","Bangladesh","5539","Indice des prix à la production (2014-2016 = 100)","1058","Viande, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","118.91","I","Valeur imputée"
