Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","53","Bénin","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","6253.682","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","53","Bénin","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","5869.303","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","17","Bermudes","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","64.382","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","17","Bermudes","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","31.671","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","17","Bermudes","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","32.711","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","17","Bermudes","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","0","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","17","Bermudes","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","60.639","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","18","Bhoutan","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","770.006","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","18","Bhoutan","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","413.208","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","18","Bhoutan","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","356.798","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","18","Bhoutan","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","481.8","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","18","Bhoutan","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","353.445","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","11816.299","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","5940.065","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","5876.234","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","3449.008","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","19","Bolivie (État plurinational de)","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","8094.974","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","26.453","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","13.668","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","12.786","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","6.54","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","278","Bonaire, Saint-Eustache et Saba","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","19.672","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","3299.349","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","1568.697","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","1730.652","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","1783.4","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","80","Bosnie-Herzégovine","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","1714.81","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","20","Botswana","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","2365.894","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","20","Botswana","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","1180.817","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","20","Botswana","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","1185.076","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","20","Botswana","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","703.554","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","20","Botswana","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","1712.212","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","21","Brésil","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","208660.842","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","21","Brésil","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","102844.473","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","21","Brésil","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","105816.37","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","21","Brésil","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","27645.976","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","21","Brésil","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","186217.07","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","447.404","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","238.103","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","209.3","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","96.681","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","26","Brunéi Darussalam","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","347.838","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","27","Bulgarie","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","6933.652","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","27","Bulgarie","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","3359.488","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","27","Bulgarie","513","Femmes","3010","Population-Estimations","2020","2020","1000 No","3574.164","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","27","Bulgarie","551","Population rurale","3010","Population-Estimations","2020","2020","1000 No","1687.49","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","27","Bulgarie","561","Population urbaine","3010","Population-Estimations","2020","2020","1000 No","5253.037","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","233","Burkina Faso","511","Population totale","3010","Population-Estimations","2020","2020","1000 No","21478.69","X","Chiffre de sources internationales",""
"OA","Séries temporelles annuelles","233","Burkina Faso","512","Hommes","3010","Population-Estimations","2020","2020","1000 No","10693.067","X","Chiffre de sources internationales",""
