Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","674","Protein supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","684","Fat supply quantity (g/capita/day)","21511.03","Fat of poultry","2020","2020","g/cap/d","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","261","Calories/Year","21511.03","Fat of poultry","2020","2020","million Kcal","1.08","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","271","Proteins/Year","21511.03","Fat of poultry","2020","2020","t","0.01","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","281","Fats/Year","21511.03","Fat of poultry","2020","2020","t","0.12","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5113","Opening stocks","21121","Meat of chickens, fresh or chilled","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5510","Production","21121","Meat of chickens, fresh or chilled","2020","2020","t","257787.09","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2020","2020","t","0.49","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5071","Stock Variation","21121","Meat of chickens, fresh or chilled","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2020","2020","t","769.34","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","5166","Residuals","21121","Meat of chickens, fresh or chilled","2020","2020","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","664","Food supply (kcal/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","kcal/cap/d","22.32","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","012","Algeria","665","Food supply quantity (g/capita/day)","21121","Meat of chickens, fresh or chilled","2020","2020","g/cap/d","16.21","X","Figure from international organizations","Unofficial figure"
