Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","052","Barbados","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.12","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","111.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","68.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","112","Belarus","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","26731.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","112","Belarus","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.89","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","110.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","70","E","Estimated value",""
"FS","Suite of Food Security Indicators","056","Belgium","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","58364.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","056","Belgium","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","80","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","34.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","084","Belize","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","9934.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","084","Belize","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","69.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","13.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","204","Benin","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","3429.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","204","Benin","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.44","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","88652.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","060","Bermuda","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","064","Bhutan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","76.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","18.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","064","Bhutan","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","12937.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","064","Bhutan","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","80.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","41.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","8910.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","068","Bolivia (Plurinational State of)","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","108.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","39.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","16869.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","070","Bosnia and Herzegovina","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","69.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","072","Botswana","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","27.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","072","Botswana","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","15130.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","072","Botswana","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","101.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","076","Brazil","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","64.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","076","Brazil","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","16709.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","076","Brazil","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.45","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","81313","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","096","Brunei Darussalam","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.19","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","88.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","50.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","27092.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","100","Bulgaria","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","91.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","19.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","2369.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","854","Burkina Faso","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-1.54","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","40.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","108","Burundi","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","3.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","108","Burundi","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","861","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","108","Burundi","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-1.54","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","77.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","29.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","6282.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","132","Cabo Verde","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.87","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","62.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","116","Cambodia","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","20.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","116","Cambodia","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","4584.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","116","Cambodia","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-0.21","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","72.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","120","Cameroon","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","13.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","120","Cameroon","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","4711.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","120","Cameroon","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-1.51","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","114.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","124","Canada","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","68","E","Estimated value",""
"FS","Suite of Food Security Indicators","124","Canada","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","53146.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","124","Canada","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","1.01","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","64.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","21.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","1069.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","140","Central African Republic","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-2.24","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","78.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","148","Chad","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","27.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","148","Chad","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","1843.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","-1.26","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","152","Chile","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","104.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","152","Chile","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","57.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","152","Chile","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","26347.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","152","Chile","6125","Value","21032","Political stability and absence of violence/terrorism (index)","2020","2020","","0.04","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","159","China","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","122.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","159","China","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","48.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","159","China","6126","Value","22013","Gross domestic product per capita, PPP, (constant 2017 international $)","2020","2020","Int$/cap","19075.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","144.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","344","China, Hong Kong SAR","6123","Value","21014","Average supply of protein of animal origin (g/cap/day) (3-year average)","20192021","2019-2021","g/cap/d","103.5","E","Estimated value",""
